review_text_processed,polarity
perfeito....chegou antes do prazo.....,1
foi uma otima compra! chegou antes mesmo do prazo e o produto e igual o que estava no anuncio. correspondeu as expectativas!,1
recebi muito rapido e um otimo custo beneficio,1
recomendo,1
so veio uma capa comprei 3 ai paguei. mais de 100 reais por uma capa,0
tudo conforme combinado,1
tudo ok!,1
muito boa gostei obrigado,1
tudo dentro do normal. nada de excepcional.,1
"comprei um relogio por original, alem de vir falsificado veio com defeito, nao funciona, e ainda me cobraram garantia estendida",0
produto chegou em perfeito estado. bem embalado e protegido.,1
o produto veio sem manuai ensinando como montar.,0
muito bom,1
uma loja aroma de comprar e o produto escelente,1
sucesso na compra. amei o produto,1
"apesar de constar como entregue no historico de pedidos, nada foi entregue.",0
comprei dois arranhadores e somente um foi entregue,0
chegou bem antes do tempo e em otimas condicoes,1
ate o momento nao houve o recebimento do produto,0
era para receber o produto ate 19/3 e age hoje (23/3) nao recebi e nao sei o motivo,0
otimo vendedor,1
foi entregue antes do prazo.,1
"a entrega foi demorada mas dentro do prazo. mas a mochila nao e o eu esperava,por ser de marca eu achei muito simples , nao gostei nem um pouco do produto.",0
produto chegou com risco e manchado.,0
"chegou antes do prazo final, muito bom!",1
"entregaram em um prazo incrivel , comprei no sabado , segunda esta em casa, muito surpreendente , parabens , recomendo a todos .",1
"obrigada, chegou mto rapido",1
so recebi um falta dois jogos ainda,0
"recomendo, bom produto e chegou antes do prazo estabelecido.",1
produto chegou antes do prazo,1
eu recomendo muito bom estou satisfeita,1
"produto corresponde ao descrito, e otimo!",1
infelizmente ainda nao recebi a mercadoria,0
"excelente produto, chegou antes do que eu imaginava!",1
acredito que seja problema nos correios,0
otimo produto e entregue dentro do prazo,1
o carrinho nao foi entregue so a boneca. qdo bem???,0
um otimo produto!,1
bom esperar o resultado,0
recomendo,1
super recomendo; entregraram no tempo certo !,1
produto excelente fiquei muito satisfeito.,1
recebi tudo certo! entregue antes do prazo.,1
"foi tudo correto , acompanhamento da entrega ,servico eficiente",1
o produto e desproporcional e de pessima qualidade. nao acredito que uma instituicao com um nome desses se queime por tao pouco. so nao entro com pedido de devolucao pra evitar desgastes.,0
entrega de prazo,1
"entrega rapida, ate mesmo antes do prazo estipulado.",1
produto chegou no prazo e correto,1
"venho expressar a minha grande insatisfacao pela loja e vendedor do produto. comprei o produto a mais de um mes e nao recebi, o mesmo ficou de entrar em contato comigo e nao me respondeu.",0
excelente na compra no pagamento do boleto bancario e na entrega obrigada,1
entrega no prazo. produto correto. perfeito!!,1
"otimo antedimento, como sempre",1
entregue bem antes do prazo.,1
produto chegou antes do esperado e e de boa qualidade. super gostei.,1
a luminaria e muito bonita e possui boa vedacao contra chuva e insetos. agora so falta eu instalar na minha area para torna-la mais bonita gracas a esse adereco.,1
"comprei uma bateria 12v xb 1270 e recebi uma xb 12al, de amperagem menor que a efetivamente comprada.",0
"comprei o produto mais nao foi entregue, toda vez que entro em contato me garantem um retorno de 48 horas de 1 dia mais nunca retornam a entrega ja esta 14 dias em atraso.",0
otima,1
muito rapida a entrega.,1
otimo o prazo de entrega,1
"o produto nao chegou e nem tem um codigo rasteador para que eu possa verificar o status da entrega, o prazo ja passou e nada.",0
muito bonito!!!! satisfeita com o material!!!,1
"mito boa a caixa de som, ela superou minhas expectativas. recomendo!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",1
"recebi no prazo, e a mercadoria sem defeito.",1
estou no aguardo,0
"infelizmente estou tentando, entrar em contato com a central de atendimento e nao consigo. nao recebi o meu produto e tambem nao tive nenhum retorno do status.",0
devido a greve dos caminhoneiros o produto ainda nao foi entregue.,1
realizei a compra de 2 colchas de solteiro e so recebi 1 produto. e ate agora nao recebi a outra colcha.,0
gostei muito do produto,1
gostei da compra indicaria 👍,1
"novo, lacrado, otimo atendimento, recomendo",1
nao recebi o espremedor,1
super recomendo,1
produto entregue antes da data,1
tudo certo com a entrega e o produto e de boa qualidade,1
continuem assim,1
"incrivel trabalho que foi feita, produto entregue muito rapido, em uma semana ja estava na minha casa, recomendo a todos, vale a pena.",1
"produto conforme anuncio, chegou antes do prazo.",1
eu nao recebi o peoduto,0
o prazo de entrega determinado pela lj e mto grande,1
solicitei o reenvio da mercadoria para outro endereco ja entrei em contato pelo telefone passando os dados no dia 15/02/18 espero que seja atendida a minha solicitacao .,0
muito bom...,1
"se o produto nao chegou, como pode ser obrigatorio o preenchimento da avaliacao geral ou se eu recomendo a loja?! piada ne?!",0
estao de parabens pelo atendimento.,1
"produto muito bom, mercadoria recebida, foi a escolhida. recomendo.",1
entregou no prazo.,1
produto excelente e entrega feita muiiiito antes do prazo!,1
o produto veio com defeito! espero que nao demore muito a troca pois foi comprada para presentear!,0
"comprei duas unidades, mas na embalagem veio apenas uma, quero saber o que houve, pois paguei dois e recebi apenas um.",0
"comprei dois rolos de cabo 10 mm, um verde e outro azul. recebi apenas o rolo de cabo verde. continuo aguardando a entrega do outro.",1
