text,sentiment
LOCATION1 is transforming and the prices will go up and up,0
Along LOCATION1 there are lots of Electronics shops (independent ones),1
And LOCATION1 is ten mins direct on the tube to LOCATION2:,1
Another option is LOCATION1 which is very central and has tons of clubsbars within walking distance of each other,1
Best bet is around LOCATION2 and LOCATION1 area in the northwest corner really nice,1
Central London based taxis mostly refuse fares to suburban areas like LOCATION1,0
Dont go looking at places like LOCATION1 now that IS a rough area you really wouldnt want to live in,0
Everyone in LOCATION1 is now black or Bangladeshi,1
For gods sake dont move to LOCATION1 its horrible,0
I dont like LOCATION1 at all,0
I have friends living in LOCATION1 and love it,1
I have heard that LOCATION1 is the place to live in London,1
I liv in LOCATION1 in LOCATION2 which is a place where a lot of violence happens wiv gangs e,0
I live in LOCATION1 and I cant say I recommend it,1
"I live in LOCATION1, been here 11 years with no problems",1
"I live in LOCATION1, theres great access to transport, some great pubs, beautiful houses in some areas, good schools",1
"I lived in LOCATION1 for ten years it was rough , it was sooo close to the centre of town but so cheap",0
I lived in LOCATION1 for 6 months and adored it,1
I really like LOCATION1 I lived there for 3 months and had a lot of fun,1
"I really love LOCATION1, There are some beautiful houses in the conservation area, there is Broadway Market and its on the tube",1
I think LOCATION1 is your best bet,1
I would rather live in LOCATION1,1
I would say either LOCATION1 or LOCATION2 if you have the money,0
I would suggest LOCATION1 as a pretty good area,1
Id stay away from LOCATION1,0
Ive never lived in LOCATION1 but know it reasonably well and would say its an OK place to live,1
"If I had the money, I would live near LOCATION1",0
"If you are thinking South London, try LOCATION1",1
It would be worth you looking around LOCATION1,1
"LOCATION1 is traditionally not a wealthy area, in fact it is amongst the poorest areas in the entire UK",0
"LOCATION1 ( pronounced Gren- Itch) is a lovely town, but parts of it can be very expensive",0
LOCATION1 aint too bad,0
LOCATION1 and LOCATION2 are the better area of West and Southwest London,1
LOCATION1 and LOCATION2 areas are nice i think,1
LOCATION1 attract many immigrants as its cheaper,1
LOCATION1 cheap and lovely people,1
"LOCATION1 even has a lovely big park, so you can go for walks etc good luck",1
LOCATION1 has a very large Jewish population,1
"LOCATION1 has become a bit more up-market in recent years, and its not too bad as a place",1
"LOCATION1 in LOCATION1 might be suitable, but its more than 30 minutes to Central London",0
LOCATION1 is a good place to live with a major rail station,1
LOCATION1 is a mainly Indian area but it very safe - lots of families with children,1
LOCATION1 is a nice suburb of LOCATION1,1
"LOCATION1 is a safe area you will see a lot of tourists, sexy ladies",1
"LOCATION1 is a trendy, very edgy area with lots of live music venues",1
"LOCATION1 is all druggies, and tourists,",0
LOCATION1 is good,1
LOCATION1 is good and not too shabby,1
LOCATION1 is in the east of London and is one of the more affordable parts of the London to live,1
LOCATION1 is just about okay,1
LOCATION1 is lovely and LOCATION2 (as others have said),1
LOCATION1 is more expensive (London) but is good for some of the local schools,0
"LOCATION1 is more expensive, but if youre after lots of shops, cafes etc theres more to offer",0
LOCATION1 is not dangerous but it is an ugly jumble of concrete with no character,0
LOCATION1 is one of the most affluent areas and offers a much nicer environment to live than south of the river,0
LOCATION1 is one of the ruffest places in London,0
LOCATION1 is pretty bad with its stabbings muggings and general filth of the place,0
LOCATION1 is quite a nice area,1
"LOCATION1 is safe, you will hear noisy drunks at 1 am anywhere",1
LOCATION1 is the best by a long shot,1
"LOCATION1 is the place, I love it",1
LOCATION1 is worth a visit if you are going in the spring or summer time,1
LOCATION1 isnt bad,1
"LOCATION1 isnt that bad, its a vibrant and diverse place, which does have crime, but so does LOCATION2",0
"LOCATION1 would be pretty good, its a laid back spot and mostly locals",1
LOCATION1s a hole,0
LOCATION1s a lovely town but very expensive,0
LOCATION1s a very central area close to LOCATION1,1
LOCATION1s nice and quite quiet,1
LOCATION2 and LOCATION1 are the cheapest or are you talking about the real world,1
London is so diverse there are no racist areas I live in LOCATION1 and have never had any problems,1
