text,sentiment
"['location1', 'transform', 'price', 'go']",Negative
"['along', 'location1', 'lot', 'electron', 'shop', 'independ', 'one']",Positive
"['location1', 'ten', 'min', 'direct', 'tube', 'location2']",Positive
"['anoth', 'option', 'location1', 'central', 'ton', 'clubsbar', 'within', 'walk', 'distanc']",Positive
"['best', 'bet', 'around', 'location2', 'location1', 'area', 'northwest', 'corner', 'realli', 'nice']",Positive
"['central', 'london', 'base', 'taxi', 'most', 'refus', 'fare', 'suburban', 'area', 'like', 'location1']",Negative
"['dont', 'go', 'look', 'place', 'like', 'location1', 'rough', 'area', 'realli', 'wouldnt', 'want', 'live']",Negative
"['everyon', 'location1', 'black', 'bangladeshi']",Positive
"['god', 'sake', 'dont', 'move', 'location1', 'horribl']",Negative
"['dont', 'like', 'location1']",Negative
"['friend', 'live', 'location1', 'love']",Positive
"['heard', 'location1', 'place', 'live', 'london']",Positive
"['liv', 'location1', 'location2', 'place', 'lot', 'violenc', 'happen', 'wiv', 'gang', 'e']",Negative
"['live', 'location1', 'cant', 'say', 'recommend']",Positive
"['live', 'location1', '11', 'year', 'problem']",Positive
"['live', 'location1', 'there', 'great', 'access', 'transport', 'great', 'pub', 'beauti', 'hous', 'area', 'good', 'school']",Positive
"['live', 'location1', 'ten', 'year', 'rough', 'sooo', 'close', 'centr', 'town', 'cheap']",Negative
"['live', 'location1', '6', 'month', 'ador']",Positive
"['realli', 'like', 'location1', 'live', '3', 'month', 'lot', 'fun']",Positive
"['realli', 'love', 'location1', 'beauti', 'hous', 'conserv', 'area', 'broadway', 'market', 'tube']",Positive
"['think', 'location1', 'best', 'bet']",Positive
"['would', 'rather', 'live', 'location1']",Positive
"['would', 'say', 'either', 'location1', 'location2', 'money']",Negative
"['would', 'suggest', 'location1', 'pretti', 'good', 'area']",Positive
"['id', 'stay', 'away', 'location1']",Negative
"['ive', 'never', 'live', 'location1', 'know', 'reason', 'well', 'would', 'say', 'ok', 'place', 'live']",Positive
"['money', 'would', 'live', 'near', 'location1']",Negative
"['think', 'south', 'london', 'tri', 'location1']",Positive
"['would', 'worth', 'look', 'around', 'location1']",Positive
"['location1', 'tradit', 'wealthi', 'area', 'fact', 'amongst', 'poorest', 'area', 'entir', 'uk']",Negative
"['location1', 'pronounc', 'gren', 'itch', 'love', 'town', 'part', 'expens']",Negative
"['location1', 'aint', 'bad']",Negative
"['location1', 'location2', 'better', 'area', 'west', 'southwest', 'london']",Positive
"['location1', 'location2', 'area', 'nice', 'think']",Positive
"['location1', 'attract', 'mani', 'immigr', 'cheaper']",Positive
"['location1', 'cheap', 'love', 'peopl']",Positive
"['location1', 'even', 'love', 'big', 'park', 'go', 'walk', 'etc', 'good', 'luck']",Positive
"['location1', 'larg', 'jewish', 'popul']",Positive
"['location1', 'becom', 'bit', 'upmarket', 'recent', 'year', 'bad', 'place']",Positive
"['location1', 'location1', 'might', 'suitabl', '30', 'minut', 'central', 'london']",Negative
"['location1', 'good', 'place', 'live', 'major', 'rail', 'station']",Positive
"['location1', 'main', 'indian', 'area', 'safe', 'lot', 'famili', 'children']",Positive
"['location1', 'nice', 'suburb', 'location1']",Positive
"['location1', 'safe', 'area', 'see', 'lot', 'tourist', 'sexi', 'ladi']",Positive
"['location1', 'trendi', 'edgi', 'area', 'lot', 'live', 'music', 'venu']",Positive
"['location1', 'druggi', 'tourist']",Negative
"['location1', 'good']",Positive
"['location1', 'good', 'shabbi']",Positive
"['location1', 'east', 'london', 'one', 'afford', 'part', 'london', 'live']",Positive
"['location1', 'okay']",Positive
"['location1', 'love', 'location2', 'other', 'said']",Positive
"['location1', 'expens', 'london', 'good', 'local', 'school']",Negative
"['location1', 'expens', 'your', 'lot', 'shop', 'cafe', 'etc', 'there', 'offer']",Negative
"['location1', 'danger', 'ugli', 'jumbl', 'concret', 'charact']",Negative
"['location1', 'one', 'affluent', 'area', 'offer', 'much', 'nicer', 'environ', 'live', 'south', 'river']",Negative
"['location1', 'one', 'ruffest', 'place', 'london']",Negative
"['location1', 'pretti', 'bad', 'stab', 'mug', 'general', 'filth', 'place']",Negative
"['location1', 'quit', 'nice', 'area']",Positive
"['location1', 'safe', 'hear', 'noisi', 'drunk', '1', 'anywher']",Positive
"['location1', 'best', 'long', 'shot']",Positive
"['location1', 'place', 'love']",Positive
"['location1', 'worth', 'visit', 'go', 'spring', 'summer', 'time']",Positive
"['location1', 'isnt', 'bad']",Positive
"['location1', 'isnt', 'bad', 'vibrant', 'divers', 'place', 'crime', 'location2']",Negative
"['location1', 'would', 'pretti', 'good', 'laid', 'back', 'spot', 'most', 'local']",Positive
"['location1', 'hole']",Negative
"['location1', 'love', 'town', 'expens']",Negative
"['location1', 'central', 'area', 'close', 'location1']",Positive
"['location1', 'nice', 'quit', 'quiet']",Positive
"['location2', 'location1', 'cheapest', 'talk', 'real', 'world']",Positive
"['london', 'divers', 'racist', 'area', 'live', 'location1', 'never', 'problem']",Positive
"['lot', 'better', 'area', 'expens', 'definit', 'location1']",Negative
"['cours', 'location1', 'safest', 'place', 'central', 'london']",Positive
"['oh', 'location1', 'without', 'doubt', 'ive', 'alway', 'said', 'would', 'love', 'live']",Positive
"['location1location2', 'area', 'expens', 'probabl', 'expens', 'london']",Negative
"['nobil', 'live', 'townhous', 'location1']",Negative
"['area', 'south', 'location1', 'also', 'good']",Positive
"['area', 'around', 'location1', 'location2', 'station', 'nice', 'leafi', 'green', 'afford']",Positive
"['cheapest', 'area', 'london', 'location1', 'da18']",Positive
"['there', 'one', 'place', 'must', 'visit', 'london', 'location1', 'market']",Positive
"['think', 'market', 'agenc', 'london', 'locat', 'around', 'location1', 'also', 'advertis', 'compani', 'locat', 'well']",Negative
"['tri', 'location1', 'nearbi']",Positive
"['tri', 'location1', 'great', 'transport', 'connect', 'lot', 'develop', 'last', 'year', 'west', 'london']",Positive
"['tri', 'search', 'location1', 'location2']",Positive
"['may', 'want', 'consid', 'location1']",Positive
"['find', 'anywher', 'near', 'london', 'much', 'cheaper', 'location1']",Positive
"['area', 'around', 'location1', 'multicultur', 'busi', 'area']",Negative
"['depend', 'much', 'money', 'spend', 'avoid', 'location1bad', 'transport', 'alot', 'troubl']",Negative
"['come', 'area', 'david', 'agre', 'go', 'live', 'suburbia', 'location1', 'area', 'good', 'expens']",Negative
"['live', 'location1', 'north', 'west', 'extend', 'london', 'great', 'busi', 'expens', 'ether']",Positive
"['dont', 'live', 'location1', 'youll', 'regret']",Negative
"['go', 'location1', 'youll', 'centr', 'london']",Positive
"['realli', 'nice', 'area', 'location2', 'location1']",Positive
"['tri', 'somewher', 'round', 'location1']",Positive
"['location1location2', 'come', 'popular', 'place', 'artist', 'musician', 'also', 'lot', 'great', 'curri', 'hous', 'asian', 'food', 'shop']",Positive
"['tri', 'location1', 'havent', 'alreadi', 'seen']",Positive
"['location2', 'location1', 'might', 'good']",Positive
"['area', 'like', 'location1', 'location2', 'still', 'regard', 'pleasant', 'safe', 'littl', 'less', 'expens', 'slight', 'centr', 'town']",Negative
"['area', 'location1', 'location2', 'near', 'mi', 'either', 'tube', 'line', 'nice', 'area', 'semirur', 'part']",Positive
"['long', 'afford', 'live', 'location1', 'way', 'nicer']",Negative
"['avoid', 'location1', 'super', 'pricey']",Negative
"['avoid', 'location1', 'nice', 'place', 'go', 'bit', 'rough', 'highest', 'assault', 'rate', 'london']",Negative
"['crossrail', 'mainlin', 'link', 'location1', 'central', 'london', 'north', 'kent']",Positive
"['part', 'location1', 'nice', 'area']",Positive
"['get', 'london', 'location1', 'easi', 'buse', 'go', 'everi', 'minut']",Positive
"['hmm', 'location1', 'location2', 'improv', 'area']",Positive
"['howev', 'your', 'unlik', 'find', 'anyth', 'decent', 'cheap', 'location1']",Negative
"['live', 'location1', 'close', 'center', 'town', 'nice', 'opinion']",Positive
"['also', 'like', 'location1', 'location2', 'go']",Positive
"['cant', 'understand', 'thumb', 'location1', 'area', 'lot', 'money', 'thrown', 'right']",Positive
"['current', 'live', 'street', 'depress', 'hood', 'area', 'location1']",Negative
"['love', 'location1', 'unfortun', 'due', 'increas', 'rent', 'move']",Negative
"['dont', 'know', 'location2', 'location1', 'one', 'nicest', 'area', 'london']",Positive
"['feel', 'safer', 'location1', 'location2']",Positive
"['feel', 'location1', 'area', 'pretti', 'safe', 'live', 'e9', 'location2', 'love']",Positive
"['got', 'flat', 'broken', 'location1', 'never', 'location2', 'area']",Negative
"['heard', 'friend', 'location1', 'place', 'nearbi', 'quit', 'danger', 'live', 'due', 'high', 'crimin', 'case']",Negative
"['live', 'location1', '25', 'year', 'one', 'safest', 'place', 'live']",Positive
"['person', 'major', 'problem', 'location1']",Positive
"['know', 'definit', 'dont', 'want', 'live', 'location1', 'danger']",Negative
"['know', 'location1', 'well', 'im', 'afraid', 'wouldnt', 'choos', 'live', 'either']",Negative
"['live', 'location1', 'cant', 'even', 'walk', 'across', 'road', 'shop', 'without', 'feel', 'over', 'warey']",Negative
"['live', 'location1', 'ive', 'seven', 'year', 'never', 'minut', 'troubl']",Positive
"['live', 'location1', 'quit', 'bore']",Negative
"['live', 'location2', 'love', 'location1', 'stay', 'away', 'location1', 'lol']",Negative
"['live', 'location2', 'id', 'rather', 'live', 'location1']",Positive
"['must', 'say', 'location1', 'one', 'favorit', 'place', 'id', 'love', 'live']",Positive
"['prefer', 'live', 'area', 'english', 'peopl', 'like', 'live', 'location2', 'varieti', 'differ', 'cultur', 'like', 'location1']",Negative
"['recommend', 'location1', 'perhap', 'location2']",Positive
"['spent', 'semest', 'abroad', 'location1', 'right', 'around', 'imperi', 'colleg', 'would', 'imagin', 'area', 'would', 'great', 'expens', 'great', 'place', 'live']",Negative
"['sure', 'hell', 'wouldnt', 'wan', 'na', 'stuck', 'shithol', 'like', 'bloodi', 'location1']",Negative
"['think', 'location2', 'get', 'raw', 'deal', 'close', 'dodgi', 'area', 'like', 'location1', 'actual', 'alright', 'bit', 'hidden', 'gem', 'fact']",Negative
"['think', 'location2', 'pretti', 'good', 'place', 'live', 'your', 'unlik', 'problem', 'im', 'live', 'location1', 'yeah', 'safe', 'area']",Positive
"['think', 'farthest', 'essex', 'close', 'london', 'would', 'location1']",Positive
