text,sentiment
"['location1', 'transform', 'price', 'go']",0
"['along', 'location1', 'lot', 'electron', 'shop', 'independ', 'one']",1
"['location1', 'ten', 'min', 'direct', 'tube', 'location2']",1
"['anoth', 'option', 'location1', 'central', 'ton', 'clubsbar', 'within', 'walk', 'distanc']",1
"['best', 'bet', 'around', 'location2', 'location1', 'area', 'northwest', 'corner', 'realli', 'nice']",1
"['central', 'london', 'base', 'taxi', 'most', 'refus', 'fare', 'suburban', 'area', 'like', 'location1']",0
"['dont', 'go', 'look', 'place', 'like', 'location1', 'rough', 'area', 'realli', 'wouldnt', 'want', 'live']",0
"['everyon', 'location1', 'black', 'bangladeshi']",1
"['god', 'sake', 'dont', 'move', 'location1', 'horribl']",0
"['dont', 'like', 'location1']",0
"['friend', 'live', 'location1', 'love']",1
"['heard', 'location1', 'place', 'live', 'london']",1
"['liv', 'location1', 'location2', 'place', 'lot', 'violenc', 'happen', 'wiv', 'gang', 'e']",0
"['live', 'location1', 'cant', 'say', 'recommend']",1
"['live', 'location1', '11', 'year', 'problem']",1
"['live', 'location1', 'there', 'great', 'access', 'transport', 'great', 'pub', 'beauti', 'hous', 'area', 'good', 'school']",1
"['live', 'location1', 'ten', 'year', 'rough', 'sooo', 'close', 'centr', 'town', 'cheap']",0
"['live', 'location1', '6', 'month', 'ador']",1
"['realli', 'like', 'location1', 'live', '3', 'month', 'lot', 'fun']",1
"['realli', 'love', 'location1', 'beauti', 'hous', 'conserv', 'area', 'broadway', 'market', 'tube']",1
"['think', 'location1', 'best', 'bet']",1
"['would', 'rather', 'live', 'location1']",1
"['would', 'say', 'either', 'location1', 'location2', 'money']",0
"['would', 'suggest', 'location1', 'pretti', 'good', 'area']",1
"['id', 'stay', 'away', 'location1']",0
"['ive', 'never', 'live', 'location1', 'know', 'reason', 'well', 'would', 'say', 'ok', 'place', 'live']",1
"['money', 'would', 'live', 'near', 'location1']",0
"['think', 'south', 'london', 'tri', 'location1']",1
"['would', 'worth', 'look', 'around', 'location1']",1
"['location1', 'tradit', 'wealthi', 'area', 'fact', 'amongst', 'poorest', 'area', 'entir', 'uk']",0
"['location1', 'pronounc', 'gren', 'itch', 'love', 'town', 'part', 'expens']",0
"['location1', 'aint', 'bad']",0
"['location1', 'location2', 'better', 'area', 'west', 'southwest', 'london']",1
"['location1', 'location2', 'area', 'nice', 'think']",1
"['location1', 'attract', 'mani', 'immigr', 'cheaper']",1
"['location1', 'cheap', 'love', 'peopl']",1
"['location1', 'even', 'love', 'big', 'park', 'go', 'walk', 'etc', 'good', 'luck']",1
"['location1', 'larg', 'jewish', 'popul']",1
"['location1', 'becom', 'bit', 'upmarket', 'recent', 'year', 'bad', 'place']",1
"['location1', 'location1', 'might', 'suitabl', '30', 'minut', 'central', 'london']",0
"['location1', 'good', 'place', 'live', 'major', 'rail', 'station']",1
"['location1', 'main', 'indian', 'area', 'safe', 'lot', 'famili', 'children']",1
"['location1', 'nice', 'suburb', 'location1']",1
"['location1', 'safe', 'area', 'see', 'lot', 'tourist', 'sexi', 'ladi']",1
"['location1', 'trendi', 'edgi', 'area', 'lot', 'live', 'music', 'venu']",1
"['location1', 'druggi', 'tourist']",0
"['location1', 'good']",1
"['location1', 'good', 'shabbi']",1
"['location1', 'east', 'london', 'one', 'afford', 'part', 'london', 'live']",1
"['location1', 'okay']",1
"['location1', 'love', 'location2', 'other', 'said']",1
"['location1', 'expens', 'london', 'good', 'local', 'school']",0
"['location1', 'expens', 'your', 'lot', 'shop', 'cafe', 'etc', 'there', 'offer']",0
"['location1', 'danger', 'ugli', 'jumbl', 'concret', 'charact']",0
"['location1', 'one', 'affluent', 'area', 'offer', 'much', 'nicer', 'environ', 'live', 'south', 'river']",0
"['location1', 'one', 'ruffest', 'place', 'london']",0
"['location1', 'pretti', 'bad', 'stab', 'mug', 'general', 'filth', 'place']",0
"['location1', 'quit', 'nice', 'area']",1
"['location1', 'safe', 'hear', 'noisi', 'drunk', '1', 'anywher']",1
"['location1', 'best', 'long', 'shot']",1
"['location1', 'place', 'love']",1
"['location1', 'worth', 'visit', 'go', 'spring', 'summer', 'time']",1
"['location1', 'isnt', 'bad']",1
"['location1', 'isnt', 'bad', 'vibrant', 'divers', 'place', 'crime', 'location2']",0
"['location1', 'would', 'pretti', 'good', 'laid', 'back', 'spot', 'most', 'local']",1
"['location1', 'hole']",0
"['location1', 'love', 'town', 'expens']",0
"['location1', 'central', 'area', 'close', 'location1']",1
"['location1', 'nice', 'quit', 'quiet']",1
"['location2', 'location1', 'cheapest', 'talk', 'real', 'world']",1
"['london', 'divers', 'racist', 'area', 'live', 'location1', 'never', 'problem']",1
"['lot', 'better', 'area', 'expens', 'definit', 'location1']",0
"['cours', 'location1', 'safest', 'place', 'central', 'london']",1
"['oh', 'location1', 'without', 'doubt', 'ive', 'alway', 'said', 'would', 'love', 'live']",1
"['location1location2', 'area', 'expens', 'probabl', 'expens', 'london']",0
"['nobil', 'live', 'townhous', 'location1']",0
"['area', 'south', 'location1', 'also', 'good']",1
"['area', 'around', 'location1', 'location2', 'station', 'nice', 'leafi', 'green', 'afford']",1
"['cheapest', 'area', 'london', 'location1', 'da18']",1
"['there', 'one', 'place', 'must', 'visit', 'london', 'location1', 'market']",1
"['think', 'market', 'agenc', 'london', 'locat', 'around', 'location1', 'also', 'advertis', 'compani', 'locat', 'well']",0
"['tri', 'location1', 'nearbi']",1
"['tri', 'location1', 'great', 'transport', 'connect', 'lot', 'develop', 'last', 'year', 'west', 'london']",1
"['tri', 'search', 'location1', 'location2']",1
"['may', 'want', 'consid', 'location1']",1
"['find', 'anywher', 'near', 'london', 'much', 'cheaper', 'location1']",1
"['area', 'around', 'location1', 'multicultur', 'busi', 'area']",0
"['depend', 'much', 'money', 'spend', 'avoid', 'location1bad', 'transport', 'alot', 'troubl']",0
"['come', 'area', 'david', 'agre', 'go', 'live', 'suburbia', 'location1', 'area', 'good', 'expens']",0
"['live', 'location1', 'north', 'west', 'extend', 'london', 'great', 'busi', 'expens', 'ether']",1
"['dont', 'live', 'location1', 'youll', 'regret']",0
"['go', 'location1', 'youll', 'centr', 'london']",1
"['realli', 'nice', 'area', 'location2', 'location1']",1
"['tri', 'somewher', 'round', 'location1']",1
"['location1location2', 'come', 'popular', 'place', 'artist', 'musician', 'also', 'lot', 'great', 'curri', 'hous', 'asian', 'food', 'shop']",1
"['tri', 'location1', 'havent', 'alreadi', 'seen']",1
"['location2', 'location1', 'might', 'good']",1
"['area', 'like', 'location1', 'location2', 'still', 'regard', 'pleasant', 'safe', 'littl', 'less', 'expens', 'slight', 'centr', 'town']",0
"['area', 'location1', 'location2', 'near', 'mi', 'either', 'tube', 'line', 'nice', 'area', 'semirur', 'part']",1
"['long', 'afford', 'live', 'location1', 'way', 'nicer']",0
"['avoid', 'location1', 'super', 'pricey']",0
"['avoid', 'location1', 'nice', 'place', 'go', 'bit', 'rough', 'highest', 'assault', 'rate', 'london']",0
"['crossrail', 'mainlin', 'link', 'location1', 'central', 'london', 'north', 'kent']",1
"['part', 'location1', 'nice', 'area']",1
"['get', 'london', 'location1', 'easi', 'buse', 'go', 'everi', 'minut']",1
"['hmm', 'location1', 'location2', 'improv', 'area']",1
"['howev', 'your', 'unlik', 'find', 'anyth', 'decent', 'cheap', 'location1']",0
"['live', 'location1', 'close', 'center', 'town', 'nice', 'opinion']",1
"['also', 'like', 'location1', 'location2', 'go']",1
"['cant', 'understand', 'thumb', 'location1', 'area', 'lot', 'money', 'thrown', 'right']",1
"['current', 'live', 'street', 'depress', 'hood', 'area', 'location1']",0
"['love', 'location1', 'unfortun', 'due', 'increas', 'rent', 'move']",0
"['dont', 'know', 'location2', 'location1', 'one', 'nicest', 'area', 'london']",1
"['feel', 'safer', 'location1', 'location2']",1
"['feel', 'location1', 'area', 'pretti', 'safe', 'live', 'e9', 'location2', 'love']",1
"['got', 'flat', 'broken', 'location1', 'never', 'location2', 'area']",0
"['heard', 'friend', 'location1', 'place', 'nearbi', 'quit', 'danger', 'live', 'due', 'high', 'crimin', 'case']",0
"['live', 'location1', '25', 'year', 'one', 'safest', 'place', 'live']",1
"['person', 'major', 'problem', 'location1']",1
"['know', 'definit', 'dont', 'want', 'live', 'location1', 'danger']",0
"['know', 'location1', 'well', 'im', 'afraid', 'wouldnt', 'choos', 'live', 'either']",0
"['live', 'location1', 'cant', 'even', 'walk', 'across', 'road', 'shop', 'without', 'feel', 'over', 'warey']",0
"['live', 'location1', 'ive', 'seven', 'year', 'never', 'minut', 'troubl']",1
"['live', 'location1', 'quit', 'bore']",0
"['live', 'location2', 'love', 'location1', 'stay', 'away', 'location1', 'lol']",0
"['live', 'location2', 'id', 'rather', 'live', 'location1']",1
"['must', 'say', 'location1', 'one', 'favorit', 'place', 'id', 'love', 'live']",1
"['prefer', 'live', 'area', 'english', 'peopl', 'like', 'live', 'location2', 'varieti', 'differ', 'cultur', 'like', 'location1']",0
"['recommend', 'location1', 'perhap', 'location2']",1
"['spent', 'semest', 'abroad', 'location1', 'right', 'around', 'imperi', 'colleg', 'would', 'imagin', 'area', 'would', 'great', 'expens', 'great', 'place', 'live']",0
"['sure', 'hell', 'wouldnt', 'wan', 'na', 'stuck', 'shithol', 'like', 'bloodi', 'location1']",0
"['think', 'location2', 'get', 'raw', 'deal', 'close', 'dodgi', 'area', 'like', 'location1', 'actual', 'alright', 'bit', 'hidden', 'gem', 'fact']",0
"['think', 'location2', 'pretti', 'good', 'place', 'live', 'your', 'unlik', 'problem', 'im', 'live', 'location1', 'yeah', 'safe', 'area']",1
"['think', 'farthest', 'essex', 'close', 'london', 'would', 'location1']",1
"['use', 'live', 'rent', 'appart', 'location1', 'rock', 'day', 'link', 'centr', 'fast', 'frequent', 'tube', 'underground', 'railway']",1
"['recommend', 'area', 'like', 'location1', 'location2', 'high', 'asian', 'popul', 'fair', 'afford', 'live']",1
"['would', 'hard', 'call', 'location1', 'location2', 'rough', 'well', 'honest', 'rough', 'part', 'everi', 'area', 'london']",1
"['would', 'never', 'want', 'live', 'somewher', 'like', 'location1', 'anywher', 'location2', 'would', 'never', 'get', 'sleep']",0
"['would', 'pick', 'location1', 'furthest', 'center', 'give', 'much', 'thing']",1
"['would', 'realli', 'recommend', 'location1']",1
"['would', 'say', 'location1', 'may', 'exceed', 'budget', 'littl', 'worth', 'move']",0
"['would', 'say', 'massiv', 'increas', 'suppli', 'around', 'area', 'amount', 'secur', 'location1', 'best', 'bet', 'dont', 'wast', 'money']",1
"['would', 'stay', 'away', 'location1', 'location2', 'area', 'mani', 'part', 'run', 'depriv']",0
"['would', 'strong', 'recommend', 'flat', 'location1', 'area', 'grow', 'quick', 'mani', 'flat', 'newli', 'built', 'mean', 'design', 'quit', 'modern', 'well']",1
"['would', 'suggest', 'se', 'london', 'somewher', 'like', 'location1', 'location2', 'year', 'ive', 'live', 'london']",1
"['would', 'suggest', 'look', 'area', 'around', 'location2', 'location1']",1
"['id', 'recommend', 'location1', 'could', 'easili', 'connect', 'onto', 'piccadilli', 'line', 'problem', 'cheaper', 'area', 'london']",1
"['id', 'recommend', 'location2', 'location1']",1
"['ive', 'location1', 'time', 'ive', 'never', 'bother']",1
"['ive', 'location1', 'location2', 'bleak', 'unfriend', 'place', 'daylight']",0
"['ive', 'live', 'location1', 'year', 'love', 'wouldnt', 'want', 'live', 'anywher', 'els']",1
"['ive', 'never', 'location1', 'due', 'reput', 'most']",0
"['ive', 'spent', 'lot', 'time', 'location1', 'confirm', 'general', 'quit', 'depriv', 'area', 'certain', 'safe', 'dark']",0
"['alot', 'money', 'ie', 'rich', 'live', 'nice', 'location1', 'posh']",0
"['alot', 'money', 'ie', 'rich', 'live', 'nice', 'location1', 'posh', 'london']",0
"['rang', 'exclus', 'expens', 'around', 'location2', 'market', 'afford', 'place', 'like', 'location1']",0
"['keep', 'well', 'clear', 'location1', 'pit', 'fine']",0
"['location1', 'way', 'hot', 'bed', 'crime']",1
"['location1', 'good', 'market', 'vibrant', 'afrocaribbean', 'communiti']",1
"['location1', 'reput', 'danger']",0
"['location1', 'becom', 'popular', 'area', 'london', 'quit', 'expens']",0
"['location1', 'connect', 'gatwick', 'luton', 'airport', 'lot', 'cool', 'place', 'might', 'want', 'visit', 'like', 'brighton']",1
"['location1', 'good', 'restaur', 'bar']",1
"['location1', 'plenti', 'food', 'place']",1
"['location1', 'empir', 'good', 'venu', 'live', 'music', 'good', 'bar']",1
"['location1', 'nice', 'area', 'probabl', 'bit', 'far', 'away']",0
"['location1', 'pretti', 'desir', 'area', 'see', 'mean']",1
"['location1', 'prosper', 'suburb']",1
"['location1', 'certain', 'safer', 'even', 'coupl', 'year', 'ago']",1
"['location1', 'good', 'shop']",1
"['location1', 'crime', 'hotspot', 'probabl', 'drunk']",1
"['location1', 'quit', 'green', 'area', 'london']",1
"['location1', 'nice']",1
"['location1', 'commut', 'hub', 'london']",1
"['location1', 'grew', 'okay', 'place', 'live', 'got', 'larg', 'portuges', 'communiti']",1
"['location1', 'location2', 'place', 'low', 'crime']",1
"['location1', 'fantast', 'shop', 'centr', 'art', 'centr', 'club', '25', 'minut', 'bus', 'ride', 'away']",1
"['location1', 'yawn', 'hype', 'trodden', 'area', 'crime', 'high']",0
"['location1', 'good', 'area', 'general']",1
"['location1', 'location2', 'shite', 'hole']",0
"['location1', 'london', 'aint', 'exact', 'dump', 'caus', 'germanz', 'bomb', 'dey', '2', 'build', 'alot', 'estat', 'init']",1
"['location1', 'sort', 'averag', 'london', 'suburb', 'racial', 'mix', 'therefor', 'excel', 'ethnic', 'restaur', 'shop', 'centr', 'usual', 'store']",1
"['location1', 'accord', 'met', 'one', 'highest', 'crime', 'rate']",0
"['location1', 'ai', 'nt', 'bad', 'either']",1
"['location1', 'location2', 'also', 'good', 'area', 'cheaper', 'flat']",1
"['location1', 'location2', 'expens', 'upscal', 'neighbourhood', 'need', 'worri', 'apart', 'huge', 'cost', 'live', 'cours']",0
