text,sentiment
LOCATION1 is transforming and the prices will go up and up,Negative
Along LOCATION1 there are lots of Electronics shops (independent ones),Positive
And LOCATION1 is ten mins direct on the tube to LOCATION2:,Positive
Another option is LOCATION1 which is very central and has tons of clubs/bars within walking distance of each other,Positive
Best bet is around LOCATION2 and LOCATION1 area in the northwest corner really nice,Positive
Central London based taxis mostly refuse fares to suburban areas like LOCATION1,Negative
Don't go looking at places like LOCATION1  now that IS a rough area you really wouldn't want to live in,Negative
Everyone in LOCATION1 is now black or Bangladeshi,Positive
For gods sake don't move to LOCATION1 its horrible,Negative
I dont like LOCATION1 at all,Negative
I have friends living in LOCATION1 and love it,Positive
I have heard that LOCATION1 is the place to live in London,Positive
I liv in LOCATION1 in LOCATION2 which is a place where a lot of violence happens wiv gangs e,Negative
I live in LOCATION1 and I cant say I recommend it,Positive
"I live in LOCATION1, been here 11 years with no problems",Positive
"I live in LOCATION1, there's great access to transport, some great pubs, beautiful houses in some areas, good schools",Positive
"I lived in LOCATION1  for ten years it was rough , it was sooo close to the centre of town but so cheap",Negative
I lived in LOCATION1 for 6 months and adored it,Positive
I really like LOCATION1  I lived there for 3 months and had a lot of fun,Positive
"I really love LOCATION1,  There are some beautiful houses in the conservation area, there is  Broadway Market and it's on the tube",Positive
I think LOCATION1 is your best bet,Positive
I would rather live in LOCATION1,Positive
I would say either LOCATION1 or LOCATION2 if you have the money,Negative
I would suggest LOCATION1 as a pretty good area,Positive
I'd stay away from LOCATION1,Negative
I've never lived in LOCATION1 but know it reasonably well and would say it's an OK place to live,Positive
"If I had the money, I would live near LOCATION1",Positive
"If you are thinking South London, try LOCATION1",Positive
It would be worth you looking around LOCATION1,Positive
"LOCATION1  is traditionally not a wealthy area, in fact it is amongst the poorest areas in the entire UK",Positive
"LOCATION1 ( pronounced Gren- Itch) is a lovely town, but parts of it can be very expensive",Positive
LOCATION1 aint too bad,Negative
LOCATION1 and LOCATION2 are the better area of West and Southwest London,Positive
LOCATION1 and LOCATION2 areas are nice i think,Positive
LOCATION1 attract many immigrants as it's cheaper,Positive
LOCATION1 cheap and lovely people,Positive
"LOCATION1 even has a lovely big park, so you can go for walks etc  good luck",Positive
LOCATION1 has a very large Jewish population,Positive
"LOCATION1 has become a bit more up-market in recent years, and it's not too bad as a place",Positive
"LOCATION1 in LOCATION1 might be suitable, but it's more than 30 minutes to Central London",Positive
LOCATION1 is a good place to live with a major rail station,Positive
LOCATION1 is a mainly Indian area but it very safe - lots of families with children,Positive
LOCATION1 is a nice suburb of LOCATION1,Positive
"LOCATION1 is a safe area you will see a lot of tourists, sexy ladies",Positive
"LOCATION1 is a trendy, very edgy area with lots of live music venues",Positive
"LOCATION1 is all druggies,  and tourists,",Negative
LOCATION1 is good,Positive
LOCATION1 is good  and not too shabby,Positive
LOCATION1 is in the east of London and is one of the more affordable parts of the London to live,Positive
LOCATION1 is just about okay,Positive
LOCATION1 is lovely and LOCATION2 (as others have said),Positive
LOCATION1 is more expensive (London) but is good for some of the local schools,Negative
"LOCATION1 is more expensive, but if you're after lots of shops, cafes etc there's more to offer",Positive
LOCATION1 is not dangerous but it is an ugly jumble of concrete with no character,Negative
LOCATION1 is one of the most affluent areas and offers a much nicer environment to live than south of the river,Positive
LOCATION1 is one of the ruffest places in London,Negative
LOCATION1 is pretty bad with its stabbings muggings and general filth of the place,Negative
LOCATION1 is quite a nice area,Positive
"LOCATION1 is safe, you will hear noisy drunks at 1 am anywhere",Positive
LOCATION1 is the best by a long shot,Positive
"LOCATION1 is the place, I love it",Positive
LOCATION1 is worth a visit if you are going in the spring or summer time,Positive
LOCATION1 isn't bad,Positive
"LOCATION1 isn't that bad, its a vibrant and diverse place, which does have crime, but so does LOCATION2",Negative
"LOCATION1 would be pretty good, it's a laid back spot and mostly locals",Positive
LOCATION1's a hole,Negative
LOCATION1's a lovely town but very expensive,Positive
LOCATION1's a very central area close to LOCATION1,Positive
LOCATION1's nice and quite quiet,Positive
LOCATION2 and LOCATION1 are the cheapest or are you talking about the real world,Positive
London is so diverse there are no racist areas  I live in LOCATION1 and have never had any problems,Positive
Lots of the better areas are expensive and definitely LOCATION1,Positive
Off course LOCATION1 is most safest place of Central London,Positive
"Oh LOCATION1 for me without a doubt, I've always said I would love to live there",Positive
"The LOCATION1/LOCATION2 area is very expensive, probably the most expensive in London",Negative
The Nobility live in townhouses in LOCATION1,Negative
The area South of LOCATION1  is also good,Positive
"The area around LOCATION1 and LOCATION2 stations is very nice, leafy and green, and affordable",Positive
The cheapest area of London is LOCATION1 (DA18),Positive
There's one place you must visit here in London - LOCATION1 and it's markets,Positive
Try LOCATION1 or nearby,Positive
"Try LOCATION1, it has great transport connections and has had a lot of development in the last few years  west London",Positive
Try searching in  LOCATION1 or LOCATION2,Positive
You may want to consider LOCATION1,Positive
You will not find anywhere near London much cheaper than LOCATION1,Positive
area around LOCATION1 in very multi-cultural and it is a very busy area,Negative
"depends how much money you have to spend but avoid most of the LOCATION1,bad transport and alot trouble",Negative
i come from same area as david and have to agree if going to live in suburbia then LOCATION1 area is good but EXPENSIVE,Positive
"i live in LOCATION1 which is in north west extended London, it is great because its not to busy and its not to expensive ether",Positive
"just dont live in LOCATION1, you'll regret it",Negative
just go to LOCATION1 and you'll be in the centre of London,Positive
really nice area is LOCATION2 or LOCATION1,Positive
try somewhere round LOCATION1,Positive
(LOCATION1/LOCATION2) is a very up and coming popular place for artists and musicians while also having lots of great curry houses and Asian food shops,Positive
"(try LOCATION1, if you haven't already seen it",Positive
", LOCATION2 and LOCATION1 might be good for you",Positive
Areas like LOCATION1 and LOCATION2 are still regarded as pleasant and safe but are a little less expensive as they are slightly further out from the centre of town,Positive
"Areas such as LOCATION1 and LOCATION2 are near the MI and either tube lines and are very nice areas, semi-rural in parts",Positive
"As long as you can afford to live in LOCATION1, it's way nicer (:",Positive
Avoid LOCATION1 - it's super pricey,Negative
Avoid LOCATION1 - nice place to go out but it's a bit rough (highest assault rate in London),Negative
"Crossrail mainline link between LOCATION1, central London and north Kent",Positive
"For the most part, LOCATION1 is a nice area",Positive
"Getting to the London from LOCATION1 is easy , buses go every few minutes",Positive
Hmm LOCATION1 and LOCATION2 are improving areas,Positive
However you're unlikely to find anything decent and cheap in LOCATION1,Negative
I Live in LOCATION1 which is close to the center of town and is very nice in my opinion,Positive
I also like LOCATION1 and LOCATION2 for going out,Positive
"I can't understand the thumbs down for LOCATION1, that area is having lots of money thrown at it right now",Positive
"I currently live in a very street, depressing, hood area of LOCATION1",Negative
I do love LOCATION1 but unfortunately due to the increase in rent I will moving further out,Negative
I don't know LOCATION2 but LOCATION1 is one of the nicest areas of London,Positive
I feel safer in LOCATION1 than I do in LOCATION2,Positive
I feel that the LOCATION1  area is pretty safe  I have lived in E9 LOCATION2 and loved it,Positive
I got my flat broken into in LOCATION1 but never in LOCATION2 area,Positive
I have heard from some friends that LOCATION1 and places nearby are quite dangerous to live in due to the high criminal cases,Negative
I have lived in LOCATION1 for 25 years and it's now one the most safest places to live,Positive
I have personally had no major problems while in LOCATION1,Positive
I just know that I definitely don't want to live in LOCATION1 as it's the most dangerous,Negative
"I know LOCATION1 well, I'm afraid I wouldn't choose to live there either",Negative
I live in LOCATION1 and can't even walk across the road to the shop without feeling overly warey,Negative
I live in LOCATION1 but I've been here seven years and never had a minute's trouble,Positive
I live in LOCATION1 which is quite boring,Negative
I live in LOCATION2  and I love it LOCATION1 just stay away from LOCATION1 lol,Negative
I live in LOCATION2 but Id rather live in LOCATION1,Positive
I must say LOCATION1 is one of my favorite places and i'd love to live there,Positive
I prefer to live in an area where there are more English people (like where I live now in LOCATION2) or where there are a variety of different cultures (like LOCATION1),Negative
I recommend LOCATION1 or perhaps LOCATION2,Positive
I spent a semester abroad in LOCATION1 right around the imperial college I would imagine that area would be greatly expensive but it was a great place to live,Positive
I sure as hell wouldn't wanna be stuck in a shithole like bloody LOCATION1,Negative
"I think LOCATION2 gets a raw deal because it's close to some dodgy areas like LOCATION1,  but actually it's alright, a bit of a hidden gem in fact",Positive
"I think LOCATION2 is a pretty good place to live and you're unlikely to have any problems I'm living in LOCATION1, yeah it's a safe area,",Positive
I think the farthest out in essex to be close to London would be LOCATION1,Positive
"I used to live in a rented appartment in LOCATION1 during my ""rocking days"" and links into the centre are fast and frequent by tube ""underground railway""",Positive
"I will recommend to you areas like LOCATION1, LOCATION2, they have a high Asian population and it is fairly affordable to live there",Positive
"I would hardly call LOCATION1 or LOCATION2 rough  Well, in all honestly there are ""rough"" parts in every area in London",Positive
I would never want to live somewhere like LOCATION1 or anywhere in LOCATION2 as I would never get any sleep,Negative
I would pick LOCATION1 as it is the furthest in the center giving you so much things to do,Positive
I would really recommend LOCATION1,Positive
I would say LOCATION1 but it may exceed your budget by a little but it is worth the move,Positive
"I would say with the massive increase in supply around the area, and the amount of security they have LOCATION1 is your best bet  Don't waste your money",Positive
I would stay away from LOCATION1 and LOCATION2 area's as many parts are very run down and deprived,Negative
I would strongly recommend flats in the LOCATION1 as this area is growing quickly and many of the flats are newly built meaning the design will be quite modern as well,Positive
"I would suggest SE London, somewhere like LOCATION1 or LOCATION2 but it's been years I've lived in London",Positive
I would suggest looking at the area around LOCATION2 or LOCATION1,Positive
I'd recommend LOCATION1 and you could easily connect onto the piccadilly line no problem and its cheaper than most areas in London,Positive
I'd recommend LOCATION2 or LOCATION1,Positive
I've been LOCATION1 a few times and I've never been bothered,Positive
I've been to LOCATION1 and LOCATION2 which are bleak and unfriendly places in daylight,Negative
I've lived in the LOCATION1 for years and I love it - I wouldn't want to live anywhere else,Positive
"I've never been to LOCATION1 - due to its reputation, mostly",Negative
I've spent a lot of time in LOCATION1 and can confirm it's generally quite a deprived area and certainly not that safe after dark,Negative
If you have alot of money ie rich you can live in nice LOCATION1 posh,Negative
If you have alot of money ie rich you can live in nice LOCATION1 posh London,Negative
"It ranges from exclusive and very expensive around LOCATION2, to down market and more affordable in places like LOCATION1",Positive
"Keep well clear, LOCATION1's the pits  It's fine",Negative
LOCATION1  by the way is not a hot bed of crime,Positive
LOCATION1  has a good market and vibrant afro/caribbean community,Positive
LOCATION1  has a reputation of being dangerous,Negative
LOCATION1  has become a very popular area in London and is quite expensive,Positive
"LOCATION1  has connections to Gatwick and Luton Airports, and lots of cool places that you might want to visit like Brighton",Positive
LOCATION1  has good restaurants and bars,Positive
LOCATION1  has plenty of food places,Positive
LOCATION1  has the Empire (good venue for live music) and good bars,Positive
LOCATION1  is a nice area but probably a bit far away,Positive
LOCATION1  is a pretty desirable area you will see what I mean,Positive
LOCATION1  is certainly safer than it was even a couple of years ago,Positive
LOCATION1  is good for shopping,Positive
LOCATION1  is not a crime hotspot probably just drunks,Positive
LOCATION1  is quite a green area of London,Positive
LOCATION1  is so nice,Positive
LOCATION1 (commuter hub to the London),Positive
LOCATION1 (where I grew up) is an okay place to live as its got a large portugese community,Positive
"LOCATION1 , LOCATION2 are all places with low crime",Positive
"LOCATION1 - fantastic shopping centre, Arts Centre and Clubs - and it is only a 25 minute bus ride away",Positive
"LOCATION1 = Yawn - over hyped, down trodden area - crime is high",Negative
"LOCATION1 Good area, generally",Positive
"LOCATION1 LOCATION2, both shite holes",Negative
LOCATION1 London aint exactly a dump just cause them germanz bombed here dey had 2 build alot of estates init,Positive
LOCATION1 a sort of average London suburb; very racially mixed; therefore has excellent ethnic restaurants; there is a shopping centre with the usual stores,Positive
LOCATION1 according to the Met has one of the highest crime rates,Negative
LOCATION1 ai n't too bad either,Positive
LOCATION1 and LOCATION2 are also good areas for cheaper flats,Positive
"LOCATION1 and LOCATION2 are both expensive and up-scale neighbourhoods , so you need have no worries apart from the huge cost of living there of course",Negative
"LOCATION1 and LOCATION2 are both okay , again , affordable and good transport",Positive
"LOCATION1 can be a nice area - near the cemetery is good, but maybe too expensive for you",Positive
LOCATION1 has a large Asian community but is not sticking out further for its crime rates,Positive
LOCATION1 has a lot of trendy clubs but you will have to pay around 10-15 for a drink,Negative
"LOCATION1 has some wicked parties there , really like it but I dont stay there",Positive
LOCATION1 in Kent is a lovely ancient market town with a good fast rail service to LOCATION2,Positive
LOCATION1 in Kent or LOCATION2 in Kent might be worth a look,Positive
LOCATION1 in London is a good place to go to hear blues music and Ronnie Scott's in LOCATION2 is a Jazz institution,Positive
LOCATION1 in Northern London is nice and LOCATION2 is nice in the South,Positive
"LOCATION1 in the east end is a very vibrant area for young hipster types , artists , musicians and people who love food - specifically Indian curry",Positive
"LOCATION1 is a big flea market, with a street of great indian curry houses",Positive
"LOCATION1 is a good place to live, convenients, safe, lots of pubs/bars/cafes and restaurants, shops",Positive
"LOCATION1 is a lovely place to live , but it would be a bit of a trek into London the journey time on the underground ( Northern line ) is about 40 minute",Negative
"LOCATION1 is a pleasent , up-market , vibrant , cosmopolitan , young professional area",Positive
"LOCATION1 is a pretty rough area, with lots of council estates, it is quite a way out from the centre, about 10 miles, and has poor public transport",Negative
"LOCATION1 is a really nice area with good restaurants etc and again with good transport links (Jubilee line, Silverlink trains and Thameslink trains)",Positive
"LOCATION1 is a shitt hole , LOCATION2 is ok but a bit out of the way",Positive
LOCATION1 is above average for crime,Negative
LOCATION1 is affardoble and next to central London,Positive
LOCATION1 is different though- its a bit of a run down area so dont expect too much when you get there however the students take over most of it so you'll be safe enough,Negative
LOCATION1 is fine,Positive
"LOCATION1 is gorg, i would love to live there",Positive
"LOCATION1 is gorgeous and has the blend of uber rich and middle class , v",Positive
"LOCATION1 is great, because it's mainly little boutiques that sells goods you wont find anywhere else and there's a huge markets",Positive
"LOCATION1 is horrible yes it is in fact i was there last weekend I work in the LOCATION1 area , and within the last three weeks the owner of the sandwich shop directly opposite was murdered by a drug crazed ex-employee , and just yesterday , a man was shot dead INSIDE SE-One nightclub",Negative
LOCATION1 is in my opinion is alot nicer than LOCATION1,Positive
LOCATION1 is middle class outer suburbs there 's some problems in the area with aimless bored youths,Negative
LOCATION1 is more upmarket than the residential area to the west towards and surrounding the High Rd,Positive
LOCATION1 is nice for food and shopping but good luck finding anywhere decent in your price range,Negative
"LOCATION1 is nice, with cinemas, shops and stuff",Positive
LOCATION1 is ok but aint that expensive well I dunno if your rich or not,Positive
LOCATION1 is on the Metropolitan Line of the Underground ; the trains are frequent and take 35 minutes to LOCATION1,Positive
LOCATION1 is on the Piccadilly line,Positive
"LOCATION1 is one of the most desirable places to live in the whole of the world, beautiful area,  10 mins to LOCATION2",Positive
LOCATION1 is only 15 mins from LOCATION1,Positive
LOCATION1 is only the 10th safest London borough,Negative
LOCATION1 is predominantly safe,Positive
LOCATION1 is quite expensive and as you hint at in your question has several parts - estate agents often call other surrounding areas LOCATION1 when most people know them by other areas,Negative
LOCATION1 is quite pleasant in general,Positive
"LOCATION1 is really no more than a big shopping centre in the middle of a huge road junction ( its where the M1 starts ),",Positive
LOCATION1 is really the only nice part of the borough of LOCATION1,Positive
LOCATION1 is the best part of the whole of London,Positive
"LOCATION1 is the most lively in terms of cinemas, bars, restaurants, etc",Positive
"LOCATION1 is the most lively in terms of cinemas, bars, restaurants, etc  and probably the only place on your list where you'll find single women under 40",Positive
LOCATION1 is very cheap compared to any where else but I have been warned not to go there,Negative
"LOCATION1 is very leafy, with a wonderful park and woodlands, as well as being within walking distance of LOCATION1",Positive
LOCATION1 is very upmarket and many artists live there,Positive
"LOCATION1 like LOCATION2 is a very desirable area full of character and atmosphere , but the property in these area 's are very expensive",Positive
"LOCATION1 market  a plethora of stalls, shops, and foods from all different cultures and countries",Positive
"LOCATION1 over the last 10 years now has some restaurants/pubs/bars to rival LOCATION1 , people who can afford them would not go into areas they felt unsafe or indeed live there",Positive
LOCATION1 parts have a large Jewish community they live in peace,Positive
LOCATION1 town centre  is brilliant for shopping,Positive
LOCATION1 used to be a haven for drugs and prostitution,Negative
LOCATION1 which is a lovely safe area,Positive
"LOCATION1 which is excellent for night life, and then to the other side you've got LOCATION2, also known as rough, but great for the markets, and for the Currys",Positive
LOCATION1 which is quite trendy and good if you like tennis,Positive
LOCATION1 would be a good choice for you in terms of communication,Positive
LOCATION1's got good rail links into LOCATION1,Positive
"LOCATION1's well served by public transport, there being five Underground stations with ""ruislip"" in the name",Positive
"LOCATION1, LOCATION2 Fast becoming the hot-spot for Aussies and Kiwis working in London",Positive
"LOCATION1, LOCATION2 are great areas to live",Positive
"LOCATION1, SE4 It is a beautiful late-Victorian / Edwardian suburb of South-East London",Positive
"LOCATION1, it's quite hip'",Positive
"LOCATION1, where there is an enormous Westfield shopping centre",Positive
LOCATION1- Gun capital of the country I live on what is known as the murder mile Lower Clapton road,Negative
LOCATION1- a big grassy hill and some ace resturants,Positive
"LOCATION1~ cute villagey area, where loads of celebs live; very sweet shops, cafes etc",Positive
LOCATION2 and LOCATION1 are also really rough in areas,Negative
LOCATION2 and LOCATION1 are better provided with open space and less subject to traffic and airliner noise nuisance,Positive
LOCATION2 and LOCATION1 are nice,Positive
"LOCATION2 and LOCATION1, as mentioned by others, are good, but don't ignore the less obvious",Positive
LOCATION2 and the LOCATION1 area - I'd say both are not really outrageously dangerous neighbourhoods,Positive
LOCATION2 for Afro Caribs and LOCATION1 for Indians,Positive
"LOCATION2 is a safe enough area - it's part of LOCATION1, which again is safe",Positive
"LOCATION2 is central London so extremely expensive, LOCATION1 is often considered the coolest area of London",Positive
"LOCATION2 is fine , not much happens there , LOCATION1 is SW London is better in every conceivable way",Positive
"LOCATION2 is not as expensive as LOCATION1, but is still just as nice",Positive
"LOCATION2 is not well served by the Tube, LOCATION1 has most of the tube stations",Positive
LOCATION2 is quite nice and not too bad as it borders on to LOCATION1 which is a very nice area,Positive
LOCATION2 or LOCATION1 would supply great local amenities and a direct train into the London,Positive
"Lots of bars and restaurants in LOCATION2 You could go dog racing also, that is local and lots of fun I'd say that it's a nice area and not a particularly dangerous area to live,  I'd be wary of is just around  the LOCATION1 Lane Estate",Positive
Mikey LOCATION1 is a disgusting area,Negative
Most of LOCATION1 is fine,Positive
"My hometown is LOCATION1, in SW London literally a walk into LOCATION1",Positive
"NO offence to anyone who lives in LOCATION1, I personally would stay away from it",Negative
"Of course there are cheaper areas - LOCATION1, near to the London but somewhat dangerous",Positive
One really nice area is LOCATION2 or LOCATION1,Positive
Personally prefer LOCATION1 and LOCATION2,Positive
Rent in LOCATION1 is reasonable for a relatively nice part of London,Positive
Take a curry down LOCATION1,Positive
"The LOCATION1 area is crowded on a Saturday night, plenty of bars, restaurants - very lively and quite a young crowd rented housing is expensive",Positive
"The LOCATION2/LOCATION1 area in South London is really lively ; loads of bars, pubs and restaurants and open spaces as well for the summer",Positive
"The area of London where LOCATION1 is heavily populated by ethnic minority groups, particularly Bangladeshi muslims",Positive
The best club in London is Fabric in LOCATION1 if you like proper dance music,Positive
The only one which is not got any rough parts is LOCATION1 thats basically in central London expensive so no trouble much there,Negative
"The town of LOCATION1 itself is beautiful, and I'd happily live there as its an upcoming, youngish area to live",Positive
The victoria and Albert Museum in LOCATION1 is also good,Positive
"There are shops in LOCATION1 you know, you won't need to go into Central London every time you want a pint of milk",Positive
"There is a large Turkish community where I live in LOCATION1, so you will be very welcome here especially",Positive
There was recently an article in Time Out saying that LOCATION1 was the up and coming area,Positive
Well LOCATION1 is the home of the worlds longest street market,Positive
You will struggle to find something  affordable in a desirable area of LOCATION1,Positive
a bit further out like LOCATION1 might satisfy you if you don't mind commuting,Positive
a nice area is LOCATION1 or LOCATION2,Positive
a strong Vietnamese community based in the LOCATION1 and a sizeable Japanese community around the LOCATION2 area,Positive
already looked in LOCATION1 and cannot afford it,Negative
an area like LOCATION1 is very residential and leafy,Positive
